No.,Column,Description,Data Type
97, PctForeignBorn, percent of people foreign born ,numeric - decimal
98, PctBornSameState, percent of people born in the same state as currently living ,numeric - decimal
99, PctSameHouse85, percent of people living in the same house as in 1985 (5 years before) ,numeric - decimal
100, PctSameCity85, percent of people living in the same city as in 1985 (5 years before) ,numeric - decimal
101, PctSameState85, percent of people living in the same state as in 1985 (5 years before) ,numeric - decimal
102, LemasSwornFT, number of sworn full time police officers ,numeric - decimal
103, LemasSwFTPerPop, sworn full time police officers per 100K population ,numeric - decimal
104, LemasSwFTFieldOps, number of sworn full time police officers in field operations (on the street as opposed to administrative etc) ,numeric - decimal
105, LemasSwFTFieldPerPop, sworn full time police officers in field operations (on the street as opposed to administrative etc) per 100K population ,numeric - decimal
106, LemasTotalReq, total requests for police ,numeric - decimal
107, LemasTotReqPerPop, total requests for police per 100K popuation ,numeric - decimal
108, PolicReqPerOffic, total requests for police per police officer ,numeric - decimal
109, PolicPerPop, police officers per 100K population ,numeric - decimal
110, RacialMatchCommPol, a measure of the racial match between the community and the police force. High values indicate proportions in community and police force are similar ,numeric - decimal
111, PctPolicWhite, percent of police that are caucasian ,numeric - decimal
112, PctPolicBlack, percent of police that are african american ,numeric - decimal
113, PctPolicHisp, percent of police that are hispanic ,numeric - decimal
114, PctPolicAsian, percent of police that are asian ,numeric - decimal
115, PctPolicMinor, percent of police that are minority of any kind ,numeric - decimal
116, OfficAssgnDrugUnits, number of officers assigned to special drug units ,numeric - decimal
117, NumKindsDrugsSeiz, number of different kinds of drugs seized ,numeric - decimal
118, PolicAveOTWorked, police average overtime worked ,numeric - decimal
119, LandArea, land area in square miles ,numeric - decimal
120, PopDens, population density in persons per square mile ,numeric - decimal
121, PctUsePubTrans, percent of people using public transit for commuting ,numeric - decimal
122, PolicCars, number of police cars ,numeric - decimal
123, PolicOperBudg, police operating budget ,numeric - decimal
124, LemasPctPolicOnPatr, percent of sworn full time police officers on patrol ,numeric - decimal
125, LemasGangUnitDeploy, gang unit deployed ,"numeric - decimal - but really ordinal - 0 means NO, 1 means YES, 0.5 means Part Time"
126, LemasPctOfficDrugUn, percent of officers assigned to drug units ,numeric - decimal
127, PolicBudgPerPop, police operating budget per population ,numeric - decimal
128, ViolentCrimesPerPop, total number of violent crimes per 100K popuation (numeric - decimal) GOAL attribute ,to be predicted
